name,number,status
PEPPurposeandGuidelines,1,Active
The“python”CommandonUnix-LikeSystems,394,Active
MigratingtoPython3asthedefaultonlinedocumentation,430,Final
PurePython/CAcceleratorModuleCompatibilityRequirements,399,Final
LiteratureOverviewforTypeHints,482,Final
APIforCryptographicHashFunctionsv2.0,452,Final
NotationForPositional-OnlyParameters,457,Final
IDLEEnhancementExceptionforAllBranches,434,Active
PythonWebServerGatewayInterfacev1.0,333,Final
DocstringConventions,257,Active
BackwardCompatibilityforthePython2StandardLibrary,291,Final
CodeMigrationandModernization,290,Active
BList:AFasterList-likeType,3128,Rejected
PythonDatabaseAPISpecificationv2.0,249,Final
PythonDatabaseAPISpecificationv1.0,248,Final
APIforBlockEncryptionAlgorithmsv1.0,272,Final
reStructuredTextDocstringFormat,287,Active
OrganizationofthePythoncommunity,8015,Rejected
TheCommonsGovernanceModel,8014,Rejected
TheExternalCouncilGovernanceModel,8013,Rejected
TheCommunityGovernanceModel,8012,Rejected
PythonGovernanceModelLeadbyTrioofPythonistas,8011,Rejected
TheTechnicalLeaderGovernanceModel,8010,Rejected
Cofunctions,3152,Rejected
AsynchronousIOsupport,3153,Superseded
MergingUnladenSwallowintoCPython,3146,Withdrawn
IntroducingRoles,3133,Rejected
AccesstoCurrentModule/Class/Function,3130,Rejected
Cleaningoutsysandthe“interpreter”module,3139,Rejected
RemoveImplicitStringConcatenation,3126,Rejected
"str(container)shouldcallstr(item),notrepr(item)",3140,Rejected
Adda“while”clausetogeneratorexpressions,3142,Rejected
AsynchronousI/OForsubprocess.Popen,3145,Withdrawn
Labeledbreakandcontinue,3136,Rejected
Delineationofthemainmodule,3122,Rejected
ASwitch/CaseStatement,3103,Rejected
Module,726,Rejected
RemoveBackslashContinuation,3125,Rejected
IEEE754FloatingPointSpecialValues,754,Rejected
Procedureforreviewingandimprovingstandardlibrarymodules,3001,Withdrawn
Postfixtypedeclarations,3117,Rejected
StricterTypeGuards,724,Withdrawn
CallableModules,713,Rejected
Dependencyspecificationforsingle-filescripts,722,Rejected
RejectFoolishIndentation,666,Rejected
AfileformattolistPythondependenciesforreproducibilityofanapplication,665,Rejected
CallableTypeSyntax,677,Rejected
Requirevirtualenvironmentsbydefaultforpackageinstallers,704,Withdrawn
Asimplifiedsignaturefor__exit__and__aexit__,707,Rejected
LazyImports,690,Rejected
"StandardizingEnumstr(),repr(),andformat()behaviors",663,Rejected
Editableinstallsviavirtualwheels,662,Rejected
SpecifyingInstallerRequirementsforPythonProjects,650,Withdrawn
Extensiblecustomizationsoftheinterpreteratstartup,648,Rejected
UsinganunderscoreintheversionportionofPython3.10compatibilitytags,641,Rejected
Allowwritingoptionaltypesas,645,Withdrawn
ExplicitPatternSyntaxforStructuralPatternMatching,642,Rejected
RobustStackOverflowHandling,651,Rejected
StructuralPatternMatching,622,Superseded
Dependencyspecificationinpyproject.tomlusinganexplodedTOMLtable,633,Rejected
Dependencyspecificationinpyproject.tomlbasedonPEP508,631,Superseded
Unusedvariablesyntax,640,Rejected
Supportforindexingwithkeywordarguments,637,Rejected
Theonemillionlimit,611,Withdrawn
HideimplementationdetailsfromtheCAPI,620,Withdrawn
PythonCompatibilityVersion,606,Rejected
CoordinatedPythonrelease,608,Rejected
Themanylinux2014PlatformTag,599,Superseded
Forbidreturn/break/continuebreakingoutoffinally,601,Rejected
Introducingincrementalfeaturereleases,598,Withdrawn
Improvingbugs.python.org,595,Withdrawn
AConcurrencyMemoryModelforPython,583,Withdrawn
ArollingfeaturereleasestreamforCPython,605,Rejected
Pythonlocalpackagesdirectory,582,Rejected
TheCcallprotocol,580,Rejected
RationalizeBuilt-infunctionclasses,576,Withdrawn
Unifyingfunction/methodclasses,575,Withdrawn
Themanylinux2010PlatformTag,571,Superseded
AugmentedAssignmentExpressions,577,Withdrawn
Context-localvariables(contextvars),555,Withdrawn
Built-innoop(),559,Rejected
MultipleInterpretersintheStdlib,554,Superseded
InstanceDescriptors,549,Rejected
SecuritytransparencyinthePythonruntime,551,Withdrawn
Backportssl.MemoryBIOandssl.SSLObjecttoPython2.7,546,Rejected
ExecutionContext,550,Withdrawn
MoreFlexibleLoopControl,548,Rejected
AUnifiedTLSAPIforPython,543,Withdrawn
DotNotationAssignmentInFunctionHeader,542,Rejected
FinalGrammarforLiteralStringInterpolation,536,Withdrawn
Existencecheckingoperators,531,Withdrawn
Managingglobalcontextvia‘with’blocksingeneratorsandcoroutines,521,Withdrawn
APlatformTagforPortableLinuxBuiltDistributions,513,Superseded
Buildsystemabstractionforpip/condaetc,516,Rejected
AllowBlockingIOErrorinsecuritysensitiveAPIs,522,Rejected
APIforcodetransformers,511,Rejected
Addaprivateversiontodict,509,Superseded
Specializefunctionswithguards,510,Rejected
MigrateCPythontoGitandGitLab,507,Rejected
UsingtheSystemRNGbydefault,504,Withdrawn
Aprotocolfordelegatingdatetimemethodstotheirtzinfoimplementations,500,Rejected
StringInterpolation-ExtendedDiscussion,502,Rejected
Astandardmechanismforbackwardcompatibility,497,Rejected
ChainexceptionsatClevel,490,Rejected
EnvironmentMarkers,496,Rejected
"MigrateCPythontoGit,Github,andPhabricator",481,Withdrawn
Creatingforge.python.org,474,Withdrawn
Addingstructureddatatobuilt-inexceptions,473,Rejected
Supportforindexingwithkeywordarguments,472,Rejected
MigrationofdictiterationcodetoPython3,469,Withdrawn
Exception-catchingexpressions,463,Rejected
CoredevelopmentworkflowautomationforCPython,462,Withdrawn
Addbinaryinterpolationandformatting,460,Withdrawn
StandardMetadataExtensionsforPythonSoftwarePackages,459,Withdrawn
Addingakey-transformingdictionarytocollections,455,Rejected
InclusionofimplicitpipbootstrapinPythoninstallation,439,Rejected
"ADSLforspecifyingsignatures,annotationsandargumentconverters",437,Rejected
Easiersuppressionoffiledescriptorinheritance,433,Superseded
RestructuringtheCPythonstartupsequence,432,Withdrawn
Timezonesupportimprovements,431,Superseded
Simplercustomisationofclasscreation,422,Withdrawn
Addafrozendictbuiltintype,416,Rejected
MetadataforPythonSoftwarePackages2.0,426,Withdrawn
FasterevolutionofthePythonStandardLibrary,413,Withdrawn
ProvisionalpackagesinthePythonstandardlibrary,411,Superseded
Usedecimal.Decimaltypefortimestamps,410,Rejected
Standardlibrary__preview__package,408,Rejected
ImprovedEncapsulationofImportState,406,Withdrawn
SimplifiedPackageLayoutandPartitioning,402,Rejected
BDFLRetirement,401,April Fool!
QualifiedNamesforModules,395,Withdrawn
ModuleVersionNumbers,396,Rejected
ChangingtheversioncomparisonmoduleinDistutils,386,Superseded
StaticmetadataforDistutils,390,Rejected
NamespacePackages,382,Rejected
MirroringinfrastructureforPyPI,381,Withdrawn
AddinganAssignmentExpression,379,Withdrawn
Postimporthooks,369,Withdrawn
Allow__enter__()methodstoskipthestatementbody,377,Rejected
Addingthepkg_resourcesmodule,365,Rejected
NewSuper,367,Superseded
TransitioningtothePy3KStandardLibrary,364,Withdrawn
SyntaxForDynamicAttributeAccess,363,Rejected
The“make”Statement,359,Withdrawn
EnumerationsinPython,354,Superseded
Path-Objectorientedfilesystempaths,355,Rejected
Thefreezeprotocol,351,Rejected
Codetags,350,Rejected
ExceptionReorganizationforPython3.0,348,Rejected
Allowstr()toreturnunicodestrings,349,Rejected
UserDefined(”,346,Withdrawn
MetadataforPythonSoftwarePackages1.2,345,Superseded
AnonymousBlockStatements,340,Rejected
DesignoftheCPythonCompiler,339,Withdrawn
ExceptionChainingandEmbeddedTracebacks,344,Superseded
MakeNoneCallable,336,Rejected
OverloadableBooleanOperators,335,Rejected
SimpleCoroutinesviaSuspendIteration,334,Withdrawn
BytevectorsandString/UnicodeUnification,332,Rejected
PythonBytecodeVerification,330,Rejected
ACaseforTopandBottomValues,326,Rejected
TreatingBuiltinsasConstantsintheStandardLibrary,329,Rejected
Resource-ReleaseSupportforGenerators,325,Rejected
Date/TimeParsingandFormatting,321,Withdrawn
PythonSynchronize/AsynchronizeBlock,319,Rejected
EliminateImplicitExceptionInstantiation,317,Rejected
EnhancedWhileLoop,315,Rejected
MetadataforPythonSoftwarePackages1.1,314,Superseded
AddingRomanNumeralLiteralstoPython,313,Rejected
ControllingGenerationofBytecodeFiles,304,Withdrawn
ReliableAcquisition/ReleasePairs,310,Rejected
HowtoChangePython’sGrammar,306,Withdrawn
Special__main__()functioninmodules,299,Rejected
Extenddivmod()forMultipleDivisors,303,Rejected
SupportforSystemUpgrades,297,Rejected
TheLockedBufferInterface,298,Withdrawn
AddingabytesObjectType,296,Withdrawn
Interpretationofmultilinestringconstants,295,Rejected
TypeNamesinthetypesModule,294,Rejected
GeneratorsAttributesandExceptions,288,Withdrawn
Integerfor-loops,284,Rejected
LoopCounterIterationwithrangeandxrange,281,Rejected
SimpleIteratorforints,276,Rejected
SwitchingonMultipleValues,275,Rejected
uniqmethodforlistobjects,270,Rejected
ExtendedHTTPfunctionalityandWebDAV,268,Rejected
Prefixingsys.pathbycommandlineoption,271,Rejected
OptimizingGlobalVariable/AttributeAccess,266,Withdrawn
ADatabaseofInstalledPythonPackages,262,Rejected
SortingDictionariesbyValue,265,Rejected
Omitprintingnewlineafternewline,259,Rejected
DocutilsDesignSpecification,258,Rejected
PythonInterfaceSyntax,245,Rejected
ObjectAdaptation,246,Rejected
DocstringProcessingSystemFramework,256,Rejected
MakingClassesLookMoreLikeTypes,254,Rejected
ModuleRepositoryUploadMechanism,243,Withdrawn
The,244,Rejected
NumericKinds,242,Rejected
MetadataforPythonSoftwarePackages,241,Superseded
AddingaRationalTypetoPython,239,Rejected
__findattr__(),231,Rejected
AddingaRationalLiteraltoPython,240,Rejected
ReworkingPython’sNumericModel,228,Withdrawn
Elementwise/ObjectwiseOperators,225,Rejected
AttributeDocstrings,224,Rejected
"Coroutines,Generators,Continuations",220,Rejected
DocstringFormat,216,Rejected
StringInterpolation,215,Superseded
LoopCounterIteration,212,Rejected
AddingANewOuterProductOperator,211,Rejected
DecouplingtheInterpreterLoop,210,Rejected
PythonAdvancedLibrary,206,Withdrawn
Multi-dimensionalArrays,209,Withdrawn
RangeLiterals,204,Rejected
"Overloading,GenericFunctions,Interfaces,andAdaptation",3124,Deferred
Collectinginformationaboutgit,103,Withdrawn
DoingPythonMicroReleases,102,Superseded
FeatureRequests,42,Withdrawn
SamplePlaintextPEPTemplate,9,Withdrawn
GuidelinesforHandlingBugReports,3,Withdrawn
Statementlocalnamespaces(aka“given”clause),3150,Deferred
Standarddaemonprocesslibrary,3143,Deferred
Disallowusingmacrosasl-values,674,Deferred
Definedsemanticsforlocals(),558,Deferred
Generator-sensitivityforContextVariables,568,Deferred
Runningextensionmodulesusingthe-moption,547,Deferred
Threadedgarbagecollection,556,Deferred
Richcomparisonchaining,535,Deferred
Deterministiccleanupforiterators,533,Deferred
ImprovedErrorsforMissingStandardLibraryModules,534,Deferred
Acircuitbreakingprotocolandbinaryoperators,532,Deferred
None-awareoperators,505,Deferred
Generalpurposestringinterpolation,501,Deferred
TheWheelBinaryPackageFormat1.9,491,Deferred
,499,Deferred
Namingconventionsandrecipesrelatedtopackaging,423,Deferred
Add__getdescriptor__methodtometaclass,447,Deferred
PythonWeb3Interface,444,Deferred
Protectingcleanupstatementsfrominterruptions,419,Deferred
Newreleasecycleandintroducinglong-termsupportversions,407,Deferred
Deprecatecodecs.StreamReaderandcodecs.StreamWriter,400,Deferred
Generalpurposedecoratorclause(aka“@in”clause),403,Deferred
Standardimageprotocolandclass,368,Deferred
LoggingUsageintheStandardLibrary,337,Deferred
CopyableIterators,323,Deferred
ProgrammingbyContractforPython,316,Deferred
SimpleImplicitLambda,312,Deferred
Optimizingaccesstoglobals,280,Deferred
EnhancedArgumentTuples,286,Deferred
OptimizedAccesstoModuleNamespaces,267,Deferred
PgenModuleforPython,269,Deferred
PythonOnlineHelp,233,Deferred
StacklessPython,219,Deferred
WebLibraryEnhancements,222,Deferred
AttributeAccessHandlers,213,Deferred
MiscellaneousPython3.0Plans,3100,Final
ThingsthatwillNotChangeinPython3000,3099,Final
PythonLanguageMoratorium,3003,Final
PythonGovernanceVotingProcess,8001,Final
ProcedureforBackwards-IncompatibleChanges,3002,Final
Python3.6ReleaseSchedule,494,Final
PythonDocumentationTranslations,545,Final
Python3000,3000,Final
PackageIndexNameRetention,541,Final
Python3.7ReleaseSchedule,537,Final
Migratingfromhg.python.orgtoGitHub,512,Final
Python3.5ReleaseSchedule,478,Final
RemovalofthePyPIMirrorAuthenticityAPI,464,Final
RemovingExternalHostingSupportonPyPI,470,Final
RemovalofthePyPIMirrorAutoDiscoveryandNamingScheme,449,Final
Transitioningtorelease-filehostingonPyPI,438,Superseded
Python3.4ReleaseSchedule,429,Final
Python2.8Un-releaseSchedule,404,Final
Python3.3ReleaseSchedule,398,Final
Python3.2ReleaseSchedule,392,Final
Python2.7ReleaseSchedule,373,Final
Python3.1ReleaseSchedule,375,Final
MigratingfromSubversiontoMercurial,385,Final
ChoosingadistributedVCSforthePythonproject,374,Final
Python2.6and3.0ReleaseSchedule,361,Final
MigratingthePythonCVStoSubversion,347,Final
ExternallyMaintainedPackages,360,Final
Python2.5ReleaseSchedule,356,Final
Python2.4ReleaseSchedule,320,Final
Python2.3ReleaseSchedule,283,Final
Python2.0ReleaseSchedule,200,Final
Python2.1ReleaseSchedule,226,Final
Python2.2ReleaseSchedule,251,Final
Python1.6ReleaseSchedule,160,Final
BugFixReleases,6,Superseded
GuidelinesforLanguageEvolution,5,Superseded
AsynchronousIOSupportRebooted:the“asyncio”Module,3156,Final
Qualifiednameforclassesandfunctions,3155,Final
Pickleprotocolversion4,3154,Final
ReworkingtheOSandIOexceptionhierarchy,3151,Final
ATypeHierarchyforNumbers,3141,Final
ABIversiontagged.sofiles,3149,Final
futures-executecomputationsasynchronously,3148,Final
PYCRepositoryDirectories,3147,Final
IPAddressManipulationLibraryforthePythonStandardLibrary,3144,Final
ImmutableBytesandMutableBuffer,3137,Final
StringrepresentationinPython3000,3138,Final
ExceptionChainingandEmbeddedTracebacks,3134,Final
ExtendedIterableUnpacking,3132,Final
NewSuper,3135,Final
SupportingNon-ASCIIIdentifiers,3131,Final
ClassDecorators,3129,Final
IntegerLiteralSupportandSyntax,3127,Final
MakingPyObject_HEADconformtostandardC,3123,Final
ExtensionModuleInitializationandFinalization,3121,Final
NewI/O,3116,Final
IntroducingAbstractBaseClasses,3119,Final
Revisingthebufferprotocol,3118,Final
