number,name,status
3127,IntegerLiteralSupportandSyntax,Final
3116,NewI/O,Final
3115,MetaclassesinPython3000,Final
3111,Simpleinputbuilt-ininPython3000,Final
3113,RemovalofTupleParameterUnpacking,Final
3112,BytesliteralsinPython3000,Final
3110,CatchingExceptionsinPython3000,Final
3114,Renamingiterator.next()toiterator.__next__(),Final
3109,RaisingExceptionsinPython3000,Final
3107,FunctionAnnotations,Final
3108,StandardLibraryReorganization,Final
3105,Makeprintafunction,Final
3106,"Revampingdict.keys(),.values()and.items()",Final
3101,AdvancedStringFormatting,Final
3104,AccesstoNamesinOuterScopes,Final
3102,Keyword-OnlyArguments,Final
721,Usingtarfile.data_filterforsourcedistributionextraction,Final
715,Disablingbdist_eggdistributionuploadsonPyPI,Final
709,Inlinedcomprehensions,Final
698,OverrideDecoratorforStaticTyping,Final
706,Filterfortarfile.extractall,Final
697,LimitedCAPIforExtendingOpaqueTypes,Final
695,TypeParameterSyntax,Final
689,UnstableCAPItier,Final
692,UsingTypedDictformoreprecise**kwargstyping,Final
688,MakingthebufferprotocolaccessibleinPython,Final
682,FormatSpecifierforSignedZero,Final
681,DataClassTransforms,Final
680,tomllib:SupportforParsingTOMLintheStandardLibrary,Final
669,LowImpactMonitoringforCPython,Final
660,Editableinstallsforpyproject.tomlbasedbuilds(wheelbased),Final
675,ArbitraryLiteralStringType,Final
670,ConvertmacrostofunctionsinthePythonCAPI,Final
673,SelfType,Final
678,EnrichingExceptionswithNotes,Final
657,IncludeFineGrainedErrorLocationsinTracebacks,Final
655,MarkingindividualTypedDictitemsasrequiredorpotentially-missing,Final
656,PlatformTagforLinuxDistributionsUsingMusl,Final
654,ExceptionGroupsandexcept*,Final
632,Deprecatedistutilsmodule,Final
644,RequireOpenSSL1.1.1ornewer,Final
643,MetadataforPackageSourceDistributions,Final
652,MaintainingtheStableABI,Final
634,StructuralPatternMatching:Specification,Final
629,VersioningPyPI’sSimpleAPI,Final
628,Add,Final
627,Recordinginstalledprojects,Final
626,Preciselinenumbersfordebuggingandothertools.,Final
621,Storingprojectmetadatainpyproject.toml,Final
624,RemovePy_UNICODEencoderAPIs,Final
623,RemovewstrfromUnicode,Final
618,AddOptionalLength-CheckingTozip,Final
617,NewPEGparserforCPython,Final
616,Stringmethodstoremoveprefixesandsuffixes,Final
612,ParameterSpecificationVariables,Final
614,RelaxingGrammarRestrictionsOnDecorators,Final
610,RecordingtheDirectURLOriginofinstalleddistributions,Final
604,Allowwritinguniontypesas,Final
613,ExplicitTypeAliases,Final
600,Future‘manylinux’PlatformTagsforPortableLinuxBuiltDistributions,Final
597,AddoptionalEncodingWarning,Final
594,Removingdeadbatteriesfromthestandardlibrary,Final
587,PythonInitializationConfiguration,Final
592,Adding“Yank”SupporttotheSimpleAPI,Final
591,Addingafinalqualifiertotyping,Final
589,TypedDict:TypeHintsforDictionarieswithaFixedSetofKeys,Final
593,Flexiblefunctionandvariableannotations,Final
586,LiteralTypes,Final
585,TypeHintingGenericsInStandardCollections,Final
566,MetadataforPythonSoftwarePackages2.1,Final
584,AddUnionOperatorsTodict,Final
574,Pickleprotocol5without-of-banddata,Final
573,ModuleStateAccessfromCExtensionMethods,Final
567,ContextVariables,Final
572,AssignmentExpressions,Final
570,PythonPositional-OnlyParameters,Final
565,ShowDeprecationWarningin__main__,Final
562,Module__getattr__and__dir__,Final
561,DistributingandPackagingTypeInformation,Final
560,Coresupportfortypingmoduleandgenerictypes,Final
557,DataClasses,Final
553,Built-inbreakpoint(),Final
564,Addnewtimefunctionswithnanosecondresolution,Final
552,Deterministicpycs,Final
540,AddanewUTF-8Mode,Final
538,CoercingthelegacyClocaletoaUTF-8basedlocale,Final
530,AsynchronousComprehensions,Final
528,ChangeWindowsconsoleencodingtoUTF-8,Final
529,ChangeWindowsfilesystemencodingtoUTF-8,Final
527,RemovingUn(der)usedfiletypes/extensionsonPyPI,Final
539,ANewC-APIforThread-LocalStorageinCPython,Final
544,Protocols:Structuralsubtyping(staticducktyping),Final
525,AsynchronousGenerators,Final
518,SpecifyingMinimumBuildSystemRequirementsforPythonProjects,Final
523,AddingaframeevaluationAPItoCPython,Final
517,Abuild-systemindependentformatforsourcetrees,Final
526,SyntaxforVariableAnnotations,Final
524,Makeos.urandom()blockingonLinux,Final
520,PreservingClassAttributeDefinitionOrder,Final
519,Addingafilesystempathprotocol,Final
503,SimpleRepositoryAPI,Final
506,AddingASecretsModuleToTheStandardLibrary,Final
498,LiteralStringInterpolation,Final
515,UnderscoresinNumericLiterals,Final
508,DependencyspecificationforPythonSoftwarePackages,Final
495,LocalTimeDisambiguation,Final
493,HTTPSverificationmigrationtoolsforPython2.7,Final
492,Coroutineswithasyncandawaitsyntax,Final
486,MakethePythonLauncherawareofvirtualenvironments,Final
477,Backportensurepip(PEP453)toPython2.7,Final
485,AFunctionfortestingapproximateequality,Final
488,EliminationofPYOfiles,Final
489,Multi-phaseextensionmoduleinitialization,Final
487,Simplercustomisationofclasscreation,Final
479,ChangeStopIterationhandlinginsidegenerators,Final
484,TypeHints,Final
468,Preservingtheorderof**kwargsinafunction.,Final
466,NetworkSecurityEnhancementsforPython2.7.x,Final
465,Adedicatedinfixoperatorformatrixmultiplication,Final
471,os.scandir()function–abetterandfasterdirectoryiterator,Final
476,Enablingcertificateverificationbydefaultforstdlibhttpclients,Final
456,Secureandinterchangeablehashalgorithm,Final
475,RetrysystemcallsfailingwithEINTR,Final
461,Adding%formattingtobytesandbytearray,Final
454,AddanewtracemallocmoduletotracePythonmemoryallocations,Final
453,ExplicitbootstrappingofpipinPythoninstallations,Final
451,AModuleSpecTypefortheImportSystem,Final
450,AddingAStatisticsModuleToTheStandardLibrary,Final
446,Makenewlycreatedfiledescriptorsnon-inheritable,Final
445,AddnewAPIstocustomizePythonmemoryallocators,Final
442,Safeobjectfinalization,Final
443,Single-dispatchgenericfunctions,Final
441,ImprovingPythonZIPApplicationSupport,Final
440,VersionIdentificationandDependencySpecification,Final
436,TheArgumentClinicDSL,Final
428,Thepathlibmodule–object-orientedfilesystempaths,Final
427,TheWheelBinaryPackageFormat1.0,Final
435,AddinganEnumtypetothePythonstandardlibrary,Final
425,CompatibilityTagsforBuiltDistributions,Final
424,Amethodforexposingalengthhint,Final
414,ExplicitUnicodeLiteralforPython3.3,Final
417,IncludingmockintheStandardLibrary,Final
420,ImplicitNamespacePackages,Final
409,Suppressingexceptioncontext,Final
415,Implementcontextsuppressionwithexceptionattributes,Final
421,Addingsys.implementation,Final
418,"Addmonotonictime,performancecounter,andprocesstimefunctions",Final
412,Key-SharingDictionary,Final
383,Non-decodableBytesinSystemCharacterInterfaces,Final
405,PythonVirtualEnvironments,Final
397,PythonlauncherforWindows,Final
384,DefiningaStableABI,Final
393,FlexibleStringRepresentation,Final
389,argparse-NewCommandLineParsingModule,Final
380,SyntaxforDelegatingtoaSubgenerator,Final
391,Dictionary-BasedConfigurationForLogging,Final
376,DatabaseofInstalledPythonDistributions,Final
372,Addinganordereddictionarytocollections,Final
370,Perusersite-packagesdirectory,Final
378,FormatSpecifierforThousandsSeparator,Final
366,Mainmoduleexplicitrelativeimports,Final
371,Additionofthemultiprocessingpackagetothestandardlibrary,Final
362,FunctionSignatureObject,Final
358,The“bytes”Object,Final
353,Usingssize_tastheindextype,Final
357,AllowingAnyObjecttobeUsedforSlicing,Final
352,RequiredSuperclassforExceptions,Final
342,CoroutinesviaEnhancedGenerators,Final
338,Executingmodulesasscripts,Final
331,Locale-IndependentFloat/StringConversions,Final
341,Unifyingtry-exceptandtry-finally,Final
343,The“with”Statement,Final
328,Imports:Multi-LineandAbsolute/Relative,Final
327,DecimalDataType,Final
324,subprocess-Newprocessmodule,Final
308,ConditionalExpressions,Final
322,ReverseIteration,Final
309,PartialFunctionApplication,Final
318,DecoratorsforFunctionsandMethods,Final
311,SimplifiedGlobalInterpreterLockAcquisitionforExtensions,Final
305,CSVFileAPI,Final
301,PackageIndexandMetadataforDistutils,Final
293,CodecErrorHandlingCallbacks,Final
302,NewImportHooks,Final
307,Extensionstothepickleprotocol,Final
292,SimplerStringSubstitutions,Final
289,GeneratorExpressions,Final
285,Addingabooltype,Final
282,ALoggingSystem,Final
279,Theenumerate()built-infunction,Final
278,UniversalNewlineSupport,Final
277,UnicodefilenamesupportforWindowsNT,Final
274,DictComprehensions,Final
261,Supportfor“wide”Unicodecharacters,Final
260,Simplifyxrange(),Final
264,Futurestatementsinsimulatedshells,Final
263,DefiningPythonSourceCodeEncodings,Final
273,ImportModulesfromZipArchives,Final
255,SimpleGenerators,Final
253,SubtypingBuilt-inTypes,Final
252,MakingTypesLookMoreLikeClasses,Final
250,Usingsite-packagesonWindows,Final
235,ImportonCase-InsensitivePlatforms,Final
234,Iterators,Final
236,Backtothe__future__,Final
237,UnifyingLongIntegersandIntegers,Final
238,ChangingtheDivisionOperator,Final
232,FunctionAttributes,Final
230,WarningFramework,Final
229,UsingDistutilstoBuildPython,Final
227,StaticallyNestedScopes,Final
217,DisplayHookforInteractiveUse,Final
214,ExtendedPrintStatement,Final
208,ReworkingtheCoercionModel,Final
223,ChangetheMeaningof,Final
221,ImportAs,Final
218,AddingaBuilt-InSetObjectType,Final
207,RichComparisons,Final
202,ListComprehensions,Final
201,LockstepIteration,Final
741,PythonConfigurationCAPI,Draft
205,WeakReferences,Final
203,AugmentedAssignments,Final
743,AddPy_COMPAT_API_VERSIONtothePythonCAPI,Draft
100,PythonUnicodeIntegration,Final
742,NarrowingtypeswithTypeIs,Draft
740,Indexsupportfordigitalattestations,Draft
736,Shorthandsyntaxforkeywordargumentsatinvocation,Draft
738,AddingAndroidasasupportedplatform,Draft
739,StaticdescriptionfileforbuilddetailsofPythoninstallations,Draft
737,Unifytypenameformatting,Draft
734,MultipleInterpretersintheStdlib,Draft
735,DependencyGroupsinpyproject.toml,Draft
733,AnEvaluationofPython’sPublicCAPI,Draft
728,TypedDictwithTypedExtraItems,Draft
727,DocumentationinAnnotatedMetadata,Draft
725,Specifyingexternaldependenciesinpyproject.toml,Draft
720,Cross-compilingPythonpackages,Draft
718,Subscriptablefunctions,Draft
712,Addinga“converter”parametertodataclasses.field,Draft
711,PyBI:astandardformatfordistributingPythonBinaries,Draft
710,Recordingtheprovenanceofinstalledpackages,Draft
694,Upload2.0APIforPythonPackageRepositories,Draft
679,Allowparenthesesinassertstatements,Draft
667,Consistentviewsofnamespaces,Draft
671,Syntaxforlate-boundfunctionargumentdefaults,Draft
659,SpecializingAdaptiveInterpreter,Draft
661,SentinelValues,Draft
653,PreciseSemanticsforPatternMatching,Draft
639,ImprovingLicenseClaritywithBetterPackageMetadata,Draft
603,Addingafrozenmaptypetocollections,Draft
480,SurvivingaCompromiseofPyPI:End-to-endsigningofpackages,Draft
588,GitHubIssuesMigrationPlan,Draft
638,SyntacticMacros,Draft
730,AddingiOSasasupportedplatform,Accepted
723,Inlinescriptmetadata,Accepted
714,Renamedist-info-metadataintheSimpleAPI,Accepted
467,MinorAPIimprovementsforbinarysequences,Draft
705,TypedDict:Read-onlyitems,Accepted
703,MakingtheGlobalInterpreterLockOptionalinCPython,Accepted
702,Markingdeprecationsusingthetypesystem,Accepted
700,AdditionalFieldsfortheSimpleAPIforPackageIndexes,Accepted
701,Syntacticformalizationoff-strings,Accepted
691,JSON-basedSimpleAPIforPythonPackageIndexes,Accepted
699,RemoveprivatedictversionfieldaddedinPEP509,Accepted
696,TypeDefaultsforTypeParameters,Accepted
687,Isolatingmodulesinthestandardlibrary,Accepted
686,MakeUTF-8modedefault,Accepted
685,Comparisonofextranamesforoptionaldistributiondependencies,Accepted
658,ServeDistributionMetadataintheSimpleRepositoryAPI,Accepted
684,APer-InterpreterGIL,Accepted
647,User-DefinedTypeGuards,Accepted
683,"ImmortalObjects,UsingaFixedRefcount",Accepted
625,FilenameofaSourceDistribution,Accepted
668,MarkingPythonbaseenvironmentsas“externallymanaged”,Accepted
649,DeferredEvaluationOfAnnotationsUsingDescriptors,Accepted
646,VariadicGenerics,Accepted
615,SupportfortheIANATimeZoneDatabaseintheStandardLibrary,Accepted
8104,2023TermSteeringCouncilelection,Active
563,PostponedEvaluationofAnnotations,Accepted
578,PythonRuntimeAuditHooks,Accepted
458,SecurePyPIdownloadswithsignedrepositorymetadata,Accepted
8105,2024TermSteeringCouncilelection,Active
708,ExtendingtheRepositoryAPItoMitigateDependencyConfusionAttacks,Provisional
590,Vectorcall:afastcallingprotocolforCPython,Accepted
8103,2022TermSteeringCouncilelection,Final
8101,2020TermSteeringCouncilelection,Final
8100,January2019SteeringCouncilelection,Final
8016,TheSteeringCouncilModel,Accepted
8102,2021TermSteeringCouncilelection,Final
8000,PythonLanguageGovernanceProposalOverview,Final
8002,OpenSourceGovernanceSurvey,Final
3333,PythonWebServerGatewayInterfacev1.0.1,Final
801,Reserved,Active
664,Python3.11ReleaseSchedule,Active
719,Python3.13ReleaseSchedule,Active
693,Python3.12ReleaseSchedule,Active
672,Unicode-relatedSecurityConsiderationsforPython,Active
636,StructuralPatternMatching:Tutorial,Final
635,StructuralPatternMatching:MotivationandRationale,Final
630,IsolatingExtensionModules,Final
619,Python3.10ReleaseSchedule,Active
291,BackwardCompatibilityforthePython2StandardLibrary,Final
290,CodeMigrationandModernization,Active
287,reStructuredTextDocstringFormat,Active
272,APIforBlockEncryptionAlgorithmsv1.0,Final
249,PythonDatabaseAPISpecificationv2.0,Final
257,DocstringConventions,Active
248,PythonDatabaseAPISpecificationv1.0,Final
101,DoingPythonReleases101,Active
247,APIforCryptographicHashFunctions,Final
20,TheZenofPython,Active
732,ThePythonDocumentationEditorialBoard,Active
731,CAPIWorkingGroupCharter,Active
676,PEPInfrastructureProcess,Active
729,Typinggovernanceprocess,Active
609,PythonPackagingAuthority(PyPA)Governance,Active
581,UsingGitHubIssuesforCPython,Accepted
387,BackwardsCompatibilityPolicy,Active
13,PythonLanguageGovernance,Active
12,SamplereStructuredTextPEPTemplate,Active
4,DeprecationofStandardModules,Active
11,CPythonplatformsupport,Active
10,VotingGuidelines,Active
7,StyleGuideforCCode,Active
2,ProcedureforAddingNewModules,Active
8,StyleGuideforPythonCode,Active
